post_comments_has_comments_id,liked_by,notification_id,created_at,modified_at
6127,1517,1599.0,2024-12-29 23:19:14,2024-12-29 23:19:14
2024,2521,,2024-11-26 06:05:22,2024-11-26 06:05:22
965,4152,2947.0,2024-05-16 13:33:04,2024-05-16 13:33:04
2033,1821,1869.0,2024-06-27 00:05:09,2024-06-27 00:05:09
507,1076,,2024-05-10 15:58:49,2024-05-10 15:58:49
558,2175,140.0,2024-10-31 17:29:19,2024-10-31 17:29:19
5038,3134,896.0,2024-05-11 20:38:15,2024-05-11 20:38:15
148,2257,,2024-02-28 02:12:41,2024-02-28 02:12:41
5771,1089,,2024-10-09 19:23:13,2024-10-09 19:23:13
7632,2831,,2024-12-02 06:54:36,2024-12-02 06:54:36
2284,2063,,2024-12-31 02:05:25,2024-12-31 02:05:25
11,1633,,2025-02-07 20:21:32,2025-02-07 20:21:32
6291,1528,760.0,2025-02-26 06:56:00,2025-02-26 06:56:00
5200,4816,,2025-01-10 19:25:34,2025-01-10 19:25:34
1752,3290,,2024-03-23 06:11:27,2024-03-23 06:11:27
754,4389,,2024-07-12 16:30:29,2024-07-12 16:30:29
4732,3142,2502.0,2024-06-26 15:28:14,2024-06-26 15:28:14
4687,949,,2024-03-03 22:22:50,2024-03-03 22:22:50
6143,2339,1335.0,2024-12-28 11:31:34,2024-12-28 11:31:34
461,3427,2088.0,2024-09-28 16:14:26,2024-09-28 16:14:26
1930,4698,2331.0,2024-07-20 17:29:46,2024-07-20 17:29:46
2363,4450,1881.0,2025-01-17 19:28:33,2025-01-17 19:28:33
755,2514,,2024-11-28 03:16:16,2024-11-28 03:16:16
3965,609,802.0,2025-01-26 01:34:12,2025-01-26 01:34:12
6240,4616,,2024-03-16 04:32:55,2024-03-16 04:32:55
7183,4759,,2025-01-08 09:04:45,2025-01-08 09:04:45
773,2984,,2024-05-15 20:33:00,2024-05-15 20:33:00
3265,2962,2656.0,2024-03-06 20:23:14,2024-03-06 20:23:14
332,4531,,2025-02-15 22:25:37,2025-02-15 22:25:37
646,3714,2671.0,2025-01-04 17:39:21,2025-01-04 17:39:21
3081,4257,2412.0,2024-01-15 05:42:18,2024-01-15 05:42:18
5474,3245,,2024-12-04 13:56:24,2024-12-04 13:56:24
797,2855,,2024-01-23 00:30:40,2024-01-23 00:30:40
5321,682,2064.0,2024-09-24 01:46:58,2024-09-24 01:46:58
3191,3280,1183.0,2024-02-04 16:04:09,2024-02-04 16:04:09
7423,3439,2542.0,2024-08-13 07:00:57,2024-08-13 07:00:57
770,4711,,2024-08-20 14:51:56,2024-08-20 14:51:56
3738,4665,2275.0,2024-01-26 11:04:32,2024-01-26 11:04:32
7663,2415,,2025-02-07 00:05:06,2025-02-07 00:05:06
3889,4811,,2024-12-15 05:41:39,2024-12-15 05:41:39
7197,3078,1859.0,2024-03-19 01:07:39,2024-03-19 01:07:39
993,27,2462.0,2024-10-13 14:55:53,2024-10-13 14:55:53
3731,3684,920.0,2024-11-11 09:37:33,2024-11-11 09:37:33
943,4408,,2024-05-04 23:27:01,2024-05-04 23:27:01
5768,384,1263.0,2025-02-08 07:08:52,2025-02-08 07:08:52
7014,723,,2024-06-11 19:41:18,2024-06-11 19:41:18
7427,2275,637.0,2024-08-07 23:18:14,2024-08-07 23:18:14
4165,4189,986.0,2024-06-20 09:32:20,2024-06-20 09:32:20
3226,4655,2937.0,2024-04-23 06:44:59,2024-04-23 06:44:59
3981,1083,793.0,2024-05-11 16:47:48,2024-05-11 16:47:48
4595,3180,1011.0,2024-12-31 17:21:21,2024-12-31 17:21:21
6522,2866,,2024-08-14 00:22:01,2024-08-14 00:22:01
6182,2525,,2025-01-05 07:24:52,2025-01-05 07:24:52
1353,1197,,2024-05-15 11:08:35,2024-05-15 11:08:35
2359,4859,,2025-02-28 17:03:25,2025-02-28 17:03:25
2016,550,,2024-09-15 05:40:46,2024-09-15 05:40:46
4312,174,1229.0,2024-11-23 00:52:46,2024-11-23 00:52:46
7475,4859,,2024-09-18 01:54:27,2024-09-18 01:54:27
7909,4077,1002.0,2024-06-21 12:22:05,2024-06-21 12:22:05
4947,3205,,2024-11-15 19:44:16,2024-11-15 19:44:16
2757,3072,,2024-12-23 01:12:11,2024-12-23 01:12:11
1357,1137,,2024-04-18 06:41:36,2024-04-18 06:41:36
1784,2544,,2024-04-03 04:12:54,2024-04-03 04:12:54
5711,639,,2024-09-02 21:35:22,2024-09-02 21:35:22
991,2587,1791.0,2024-09-21 15:28:57,2024-09-21 15:28:57
7013,909,2219.0,2024-02-19 06:01:15,2024-02-19 06:01:15
7069,765,1090.0,2024-07-14 14:50:01,2024-07-14 14:50:01
130,1561,,2024-05-27 08:12:33,2024-05-27 08:12:33
7581,3276,,2024-08-14 08:46:09,2024-08-14 08:46:09
1487,956,1128.0,2025-02-03 10:45:13,2025-02-03 10:45:13
1472,474,,2025-02-28 20:40:34,2025-02-28 20:40:34
1827,1803,172.0,2024-02-10 17:20:31,2024-02-10 17:20:31
3461,2979,2612.0,2025-01-03 04:29:11,2025-01-03 04:29:11
5897,80,1004.0,2024-04-16 01:13:05,2024-04-16 01:13:05
4822,2662,,2024-09-20 18:34:26,2024-09-20 18:34:26
7607,2264,,2024-01-24 15:53:53,2024-01-24 15:53:53
7777,2798,,2024-09-29 02:11:35,2024-09-29 02:11:35
2318,1289,,2024-05-26 23:47:07,2024-05-26 23:47:07
3595,120,1711.0,2024-02-04 11:11:48,2024-02-04 11:11:48
1956,898,1563.0,2024-12-22 05:00:06,2024-12-22 05:00:06
1878,1625,,2024-12-10 18:07:30,2024-12-10 18:07:30
5815,449,12.0,2025-02-18 12:23:47,2025-02-18 12:23:47
7010,2117,1690.0,2024-02-12 20:31:18,2024-02-12 20:31:18
7707,4585,2799.0,2024-02-10 07:36:42,2024-02-10 07:36:42
4546,4941,468.0,2024-02-13 21:41:23,2024-02-13 21:41:23
3135,1377,1894.0,2024-07-22 13:25:37,2024-07-22 13:25:37
1009,2066,,2024-11-21 12:59:46,2024-11-21 12:59:46
6483,2799,,2024-07-05 11:12:26,2024-07-05 11:12:26
2586,3887,2596.0,2024-04-03 03:04:31,2024-04-03 03:04:31
6162,139,2847.0,2024-09-05 10:28:33,2024-09-05 10:28:33
53,1015,1128.0,2024-03-07 22:07:54,2024-03-07 22:07:54
3820,561,1930.0,2025-01-11 01:54:43,2025-01-11 01:54:43
1317,1860,2201.0,2024-01-31 21:31:06,2024-01-31 21:31:06
7532,3086,,2024-11-13 06:01:15,2024-11-13 06:01:15
7019,4411,1715.0,2024-01-19 20:55:40,2024-01-19 20:55:40
1943,1056,,2024-02-02 08:19:29,2024-02-02 08:19:29
2797,291,1296.0,2024-12-21 02:59:31,2024-12-21 02:59:31
6839,4232,,2025-01-08 00:55:05,2025-01-08 00:55:05
7939,1360,2674.0,2024-06-24 01:57:10,2024-06-24 01:57:10
1183,1456,,2024-09-20 01:52:58,2024-09-20 01:52:58
870,4519,,2024-04-23 12:23:49,2024-04-23 12:23:49
6426,2428,,2024-04-15 14:28:48,2024-04-15 14:28:48
3481,2246,,2024-10-26 15:39:21,2024-10-26 15:39:21
1951,2708,,2025-02-27 15:23:45,2025-02-27 15:23:45
3829,4703,,2024-10-11 18:24:48,2024-10-11 18:24:48
2039,3469,2721.0,2024-01-17 09:36:46,2024-01-17 09:36:46
7034,2419,2400.0,2024-11-02 06:19:16,2024-11-02 06:19:16
1433,3788,,2025-02-09 16:52:19,2025-02-09 16:52:19
3455,1127,1319.0,2024-06-24 11:01:10,2024-06-24 11:01:10
4835,3077,2615.0,2024-04-26 23:58:32,2024-04-26 23:58:32
6199,4979,2240.0,2024-09-01 19:03:57,2024-09-01 19:03:57
775,1465,,2024-12-17 05:00:44,2024-12-17 05:00:44
58,2,2549.0,2024-01-01 12:07:46,2024-01-01 12:07:46
3324,2267,,2024-11-19 22:33:58,2024-11-19 22:33:58
6404,4321,,2024-01-17 02:38:25,2024-01-17 02:38:25
2257,3115,,2024-02-15 10:43:27,2024-02-15 10:43:27
4025,3430,,2024-03-26 13:17:38,2024-03-26 13:17:38
2937,2384,555.0,2024-04-19 13:50:51,2024-04-19 13:50:51
791,4062,1314.0,2024-03-21 00:30:14,2024-03-21 00:30:14
5459,267,171.0,2024-07-01 10:27:37,2024-07-01 10:27:37
7653,4849,2934.0,2024-01-18 19:06:04,2024-01-18 19:06:04
3231,2119,,2024-03-13 10:04:49,2024-03-13 10:04:49
3197,1634,1982.0,2024-01-31 18:41:10,2024-01-31 18:41:10
3546,889,2487.0,2024-03-29 08:32:59,2024-03-29 08:32:59
3095,973,,2024-04-08 23:28:24,2024-04-08 23:28:24
2885,2733,101.0,2024-07-30 00:42:28,2024-07-30 00:42:28
1113,3427,1374.0,2024-03-20 18:15:07,2024-03-20 18:15:07
1603,3607,2863.0,2024-07-05 00:22:27,2024-07-05 00:22:27
2898,1619,1446.0,2024-11-09 14:54:24,2024-11-09 14:54:24
7195,679,,2024-06-21 11:29:14,2024-06-21 11:29:14
1234,4579,,2024-09-02 00:49:48,2024-09-02 00:49:48
3834,1435,,2024-09-18 20:20:08,2024-09-18 20:20:08
1071,1817,1470.0,2024-01-29 14:10:55,2024-01-29 14:10:55
4194,1645,1282.0,2025-02-19 12:25:08,2025-02-19 12:25:08
1990,719,,2024-06-03 09:52:07,2024-06-03 09:52:07
7812,4635,2122.0,2024-01-29 21:05:02,2024-01-29 21:05:02
7528,4400,,2024-04-07 23:33:30,2024-04-07 23:33:30
3147,2002,993.0,2024-03-19 04:24:47,2024-03-19 04:24:47
7977,550,,2024-05-12 16:01:23,2024-05-12 16:01:23
1945,3130,2953.0,2024-07-19 20:09:52,2024-07-19 20:09:52
4309,254,,2024-08-12 03:00:56,2024-08-12 03:00:56
7659,2567,,2024-05-24 13:28:16,2024-05-24 13:28:16
7772,1656,,2024-11-20 01:13:11,2024-11-20 01:13:11
3912,4955,,2025-02-22 12:12:43,2025-02-22 12:12:43
301,4357,1345.0,2024-09-30 02:12:20,2024-09-30 02:12:20
6012,1238,,2024-12-13 15:26:41,2024-12-13 15:26:41
6935,263,,2024-12-19 10:14:39,2024-12-19 10:14:39
5898,661,1154.0,2024-02-16 15:51:44,2024-02-16 15:51:44
6529,3937,,2025-02-23 09:50:42,2025-02-23 09:50:42
3670,2863,,2024-09-15 23:32:15,2024-09-15 23:32:15
3470,2954,,2024-11-09 16:01:52,2024-11-09 16:01:52
4520,4274,,2024-06-27 12:18:53,2024-06-27 12:18:53
7664,4941,,2024-08-27 13:33:47,2024-08-27 13:33:47
5025,384,1875.0,2024-03-31 15:44:49,2024-03-31 15:44:49
667,3273,1928.0,2025-01-10 20:37:16,2025-01-10 20:37:16
5642,3815,,2024-06-18 10:16:16,2024-06-18 10:16:16
2284,4322,1070.0,2024-11-15 08:31:35,2024-11-15 08:31:35
4233,1794,513.0,2024-01-04 11:10:22,2024-01-04 11:10:22
6696,4996,,2024-05-10 00:20:41,2024-05-10 00:20:41
5760,1821,1257.0,2024-02-15 16:38:47,2024-02-15 16:38:47
7851,315,,2025-01-13 14:19:15,2025-01-13 14:19:15
2118,2920,2181.0,2024-03-11 19:12:11,2024-03-11 19:12:11
7299,4841,2599.0,2024-01-09 10:49:46,2024-01-09 10:49:46
1187,6,933.0,2024-05-07 05:56:43,2024-05-07 05:56:43
6096,3488,813.0,2024-12-02 11:38:37,2024-12-02 11:38:37
6588,1433,464.0,2024-11-11 04:28:24,2024-11-11 04:28:24
4270,2633,2041.0,2025-01-19 19:08:01,2025-01-19 19:08:01
3763,2044,2444.0,2025-02-02 19:24:15,2025-02-02 19:24:15
2383,131,2298.0,2025-01-28 06:20:17,2025-01-28 06:20:17
6002,1490,,2024-12-09 08:51:38,2024-12-09 08:51:38
7093,3654,,2024-10-28 01:28:59,2024-10-28 01:28:59
408,2055,2695.0,2024-06-10 03:42:24,2024-06-10 03:42:24
2214,106,428.0,2024-02-03 16:47:49,2024-02-03 16:47:49
4349,3438,979.0,2024-04-18 01:21:17,2024-04-18 01:21:17
2763,1910,,2024-04-19 00:23:35,2024-04-19 00:23:35
3894,858,,2024-03-06 15:14:17,2024-03-06 15:14:17
6489,1353,2901.0,2024-10-25 08:18:49,2024-10-25 08:18:49
1504,2323,1349.0,2025-02-21 00:59:31,2025-02-21 00:59:31
4816,905,1731.0,2024-02-25 13:13:53,2024-02-25 13:13:53
3557,1482,667.0,2024-02-14 20:46:53,2024-02-14 20:46:53
2408,449,,2024-12-13 03:13:07,2024-12-13 03:13:07
3034,3894,,2024-12-30 01:00:57,2024-12-30 01:00:57
4283,1164,,2024-11-18 17:59:51,2024-11-18 17:59:51
3627,1867,,2025-02-27 20:41:25,2025-02-27 20:41:25
3039,4851,2588.0,2024-06-02 20:59:00,2024-06-02 20:59:00
1974,1407,2243.0,2024-11-27 00:15:37,2024-11-27 00:15:37
231,3732,1140.0,2024-11-14 01:07:17,2024-11-14 01:07:17
5271,215,2661.0,2024-10-24 02:58:50,2024-10-24 02:58:50
1487,1498,,2024-04-02 19:42:43,2024-04-02 19:42:43
1270,1984,,2024-06-30 10:18:42,2024-06-30 10:18:42
6923,280,,2024-11-14 06:48:20,2024-11-14 06:48:20
7652,1030,186.0,2024-07-06 06:33:46,2024-07-06 06:33:46
7558,3173,2139.0,2025-02-03 21:09:34,2025-02-03 21:09:34
1141,1968,1121.0,2024-04-25 21:09:54,2024-04-25 21:09:54
3714,717,,2024-01-05 14:04:18,2024-01-05 14:04:18
5594,4418,2673.0,2024-05-22 15:57:56,2024-05-22 15:57:56
5826,4,974.0,2024-01-23 07:59:04,2024-01-23 07:59:04
7342,4103,,2024-02-17 10:01:09,2024-02-17 10:01:09
3279,4953,,2024-10-10 22:47:51,2024-10-10 22:47:51
4772,3469,2111.0,2024-04-29 16:43:11,2024-04-29 16:43:11
6549,2026,,2025-02-21 07:35:12,2025-02-21 07:35:12
4371,3137,2313.0,2024-03-18 08:38:55,2024-03-18 08:38:55
1207,286,,2024-10-16 01:16:44,2024-10-16 01:16:44
1617,2180,505.0,2024-11-05 23:17:08,2024-11-05 23:17:08
5548,874,,2024-07-11 06:33:55,2024-07-11 06:33:55
4458,2614,,2024-08-08 17:08:07,2024-08-08 17:08:07
3470,3150,411.0,2024-11-08 13:35:07,2024-11-08 13:35:07
3288,4929,,2024-06-17 21:35:59,2024-06-17 21:35:59
1165,477,1586.0,2024-08-19 23:00:38,2024-08-19 23:00:38
5527,2230,2817.0,2024-08-16 05:59:10,2024-08-16 05:59:10
7007,5000,802.0,2024-08-24 08:31:08,2024-08-24 08:31:08
7501,422,170.0,2024-07-18 14:06:30,2024-07-18 14:06:30
1653,4640,,2025-01-16 08:48:58,2025-01-16 08:48:58
3988,4654,,2024-02-29 05:52:20,2024-02-29 05:52:20
7977,1819,,2024-01-06 15:59:09,2024-01-06 15:59:09
568,4995,,2024-02-09 13:47:40,2024-02-09 13:47:40
7123,476,,2025-01-24 19:20:32,2025-01-24 19:20:32
6495,3707,2421.0,2024-04-23 10:18:46,2024-04-23 10:18:46
7830,4470,,2024-09-23 14:26:12,2024-09-23 14:26:12
6364,3782,860.0,2024-05-02 22:21:25,2024-05-02 22:21:25
6747,658,,2024-12-18 19:24:28,2024-12-18 19:24:28
6720,2461,,2024-12-03 18:36:04,2024-12-03 18:36:04
254,4396,1020.0,2024-06-25 03:03:30,2024-06-25 03:03:30
1338,3455,894.0,2025-01-05 08:48:46,2025-01-05 08:48:46
4955,4793,,2024-01-18 08:38:40,2024-01-18 08:38:40
1991,4010,2813.0,2024-06-14 14:17:19,2024-06-14 14:17:19
1082,1853,365.0,2024-09-30 22:23:18,2024-09-30 22:23:18
3590,1200,,2024-02-12 07:51:34,2024-02-12 07:51:34
6438,485,1364.0,2024-04-15 03:00:32,2024-04-15 03:00:32
1535,2379,2506.0,2024-12-03 01:31:05,2024-12-03 01:31:05
2530,2101,368.0,2024-07-25 19:50:25,2024-07-25 19:50:25
6571,700,,2024-02-23 11:08:25,2024-02-23 11:08:25
4901,2620,,2024-07-28 02:33:09,2024-07-28 02:33:09
938,1915,,2024-11-20 14:29:44,2024-11-20 14:29:44
1870,2097,496.0,2024-06-09 06:36:18,2024-06-09 06:36:18
3243,1369,,2025-02-08 11:41:44,2025-02-08 11:41:44
1103,4620,1673.0,2024-06-30 23:53:22,2024-06-30 23:53:22
7018,3665,,2024-10-04 19:01:26,2024-10-04 19:01:26
139,1763,2163.0,2024-09-13 15:17:12,2024-09-13 15:17:12
6133,207,167.0,2024-08-31 12:59:39,2024-08-31 12:59:39
6269,2028,1935.0,2024-01-22 22:03:40,2024-01-22 22:03:40
1564,3685,,2024-05-29 08:09:22,2024-05-29 08:09:22
2108,1138,1067.0,2024-12-18 23:00:28,2024-12-18 23:00:28
6022,1787,1243.0,2024-07-07 10:56:48,2024-07-07 10:56:48
841,4208,,2024-06-24 09:46:20,2024-06-24 09:46:20
7694,1311,,2024-07-09 19:42:30,2024-07-09 19:42:30
7032,391,2745.0,2025-02-07 10:21:57,2025-02-07 10:21:57
4641,4701,2227.0,2024-10-16 12:07:07,2024-10-16 12:07:07
3798,3636,,2024-07-15 08:27:58,2024-07-15 08:27:58
3417,2575,,2024-01-21 03:49:08,2024-01-21 03:49:08
2717,954,,2024-03-03 06:34:59,2024-03-03 06:34:59
3166,3990,,2024-06-11 05:30:52,2024-06-11 05:30:52
2476,2813,,2024-05-31 10:27:21,2024-05-31 10:27:21
2840,4327,,2024-11-12 10:26:36,2024-11-12 10:26:36
3177,2557,796.0,2024-10-18 12:08:45,2024-10-18 12:08:45
5693,3620,,2024-05-27 13:18:59,2024-05-27 13:18:59
7136,3724,187.0,2024-06-08 04:31:36,2024-06-08 04:31:36
5555,1422,1853.0,2024-10-05 20:37:19,2024-10-05 20:37:19
3869,3303,,2025-01-17 13:25:31,2025-01-17 13:25:31
7151,309,,2024-08-03 00:47:27,2024-08-03 00:47:27
5044,3293,80.0,2025-02-04 16:44:07,2025-02-04 16:44:07
3520,274,2007.0,2024-10-13 20:37:55,2024-10-13 20:37:55
3162,2754,182.0,2024-05-20 22:50:40,2024-05-20 22:50:40
4428,167,,2024-11-26 15:19:37,2024-11-26 15:19:37
601,3889,2597.0,2024-09-03 02:37:41,2024-09-03 02:37:41
2535,2510,,2025-02-08 18:58:23,2025-02-08 18:58:23
5695,4484,2646.0,2024-06-21 00:25:37,2024-06-21 00:25:37
3763,3530,2293.0,2024-08-24 00:32:11,2024-08-24 00:32:11
5679,2873,,2024-10-03 14:55:47,2024-10-03 14:55:47
762,4051,,2025-01-11 01:44:38,2025-01-11 01:44:38
6132,4385,1564.0,2024-02-15 07:34:18,2024-02-15 07:34:18
6183,2481,1063.0,2025-01-23 01:17:56,2025-01-23 01:17:56
7200,887,1712.0,2025-01-14 08:27:57,2025-01-14 08:27:57
4154,949,2691.0,2024-04-06 12:34:25,2024-04-06 12:34:25
7454,3845,772.0,2024-12-05 02:16:41,2024-12-05 02:16:41
4944,709,2798.0,2024-04-13 09:39:54,2024-04-13 09:39:54
362,542,,2024-12-24 02:34:33,2024-12-24 02:34:33
3511,3254,2380.0,2024-02-06 20:36:26,2024-02-06 20:36:26
5456,1892,909.0,2024-09-07 09:38:14,2024-09-07 09:38:14
772,1317,,2024-10-11 03:58:29,2024-10-11 03:58:29
7985,2087,2118.0,2024-04-05 06:08:35,2024-04-05 06:08:35
7936,3182,,2024-06-27 11:19:42,2024-06-27 11:19:42
7847,2989,,2025-01-10 13:03:07,2025-01-10 13:03:07
3450,3986,925.0,2024-12-08 02:18:30,2024-12-08 02:18:30
2094,268,,2024-07-24 04:47:25,2024-07-24 04:47:25
6789,2451,515.0,2024-12-16 20:55:28,2024-12-16 20:55:28
7999,4764,1269.0,2024-01-06 13:35:37,2024-01-06 13:35:37
2291,2779,,2025-02-24 03:30:53,2025-02-24 03:30:53
3208,4664,2703.0,2024-05-19 22:18:26,2024-05-19 22:18:26
7425,650,,2024-12-14 21:12:42,2024-12-14 21:12:42
6780,4133,602.0,2024-04-24 13:15:51,2024-04-24 13:15:51
6986,1683,751.0,2024-05-10 06:14:03,2024-05-10 06:14:03
2164,1084,,2025-01-07 13:55:12,2025-01-07 13:55:12
7660,4136,,2024-02-26 15:29:12,2024-02-26 15:29:12
1730,2582,,2024-12-28 12:56:56,2024-12-28 12:56:56
5166,2145,,2024-03-22 03:49:32,2024-03-22 03:49:32
2952,1041,,2024-10-23 08:28:07,2024-10-23 08:28:07
7614,334,,2024-01-17 12:16:34,2024-01-17 12:16:34
6139,1222,2731.0,2024-11-05 19:21:57,2024-11-05 19:21:57
3264,3423,,2024-09-11 15:23:06,2024-09-11 15:23:06
2392,2260,,2024-07-04 17:55:26,2024-07-04 17:55:26
1236,3165,,2024-01-31 16:55:47,2024-01-31 16:55:47
2737,2014,,2024-09-09 14:59:12,2024-09-09 14:59:12
7393,22,,2024-10-10 05:40:58,2024-10-10 05:40:58
3241,4291,755.0,2024-03-07 20:53:06,2024-03-07 20:53:06
4117,3276,1588.0,2024-12-02 20:54:07,2024-12-02 20:54:07
7708,3629,,2025-01-01 04:05:53,2025-01-01 04:05:53
5035,3768,1405.0,2024-12-12 18:48:57,2024-12-12 18:48:57
1681,693,490.0,2025-02-28 18:58:44,2025-02-28 18:58:44
4450,3238,,2024-06-29 11:45:22,2024-06-29 11:45:22
6429,216,,2024-03-19 14:30:08,2024-03-19 14:30:08
6022,31,1356.0,2024-06-01 17:21:07,2024-06-01 17:21:07
5240,2600,,2024-12-08 02:14:21,2024-12-08 02:14:21
7342,3977,2233.0,2024-02-17 23:03:53,2024-02-17 23:03:53
5602,1606,,2024-04-25 21:10:06,2024-04-25 21:10:06
1484,231,240.0,2024-02-24 08:16:44,2024-02-24 08:16:44
4072,3307,,2025-01-02 23:26:21,2025-01-02 23:26:21
6582,4741,,2024-10-18 21:59:43,2024-10-18 21:59:43
771,2831,2338.0,2024-06-08 07:58:48,2024-06-08 07:58:48
